item,itemLabel,directorLabel,genreLabel,runtime,pubdate,sampledItemLabel
http://www.wikidata.org/entity/Q52192614,Mercury 13,David Sington,documentary film,78,2018-01-01T00:00:00Z,Mercury 13
http://www.wikidata.org/entity/Q61642151,Barbara Rubin and the Exploding NY Underground,Chuck Smith,documentary film,78,2018-04-30T00:00:00Z,Barbara Rubin and the Exploding NY Underground
http://www.wikidata.org/entity/Q62076008,"Yes, God, Yes",Karen Maine,drama film,78,2019-03-08T00:00:00Z,"Yes, God, Yes"
http://www.wikidata.org/entity/Q65665784,Hope Springs Eternal,Jack C. Newell,drama film,78,2018-08-10T00:00:00Z,Hope Springs Eternal
http://www.wikidata.org/entity/Q84953528,Notzilla,Mitch_Teemley,comedy film,78,2019-06-01T00:00:00Z,Notzilla
http://www.wikidata.org/entity/Q98078759,Shiva Baby,Emma Seligman,comedy film,78,2020-01-01T00:00:00Z,Shiva Baby
http://www.wikidata.org/entity/Q98976340,Blackpink: Light Up The Sky,Caroline Suh,documentary film,78,2020-10-14T00:00:00Z,Blackpink: Light Up The Sky
http://www.wikidata.org/entity/Q104783417,A Day in the Life of America,Jared Leto,documentary,78,2019-04-27T00:00:00Z,A Day in the Life of America
http://www.wikidata.org/entity/Q108295487,Ottolenghi and the Cakes of Versailles,Laura Gabbert,documentary film,75,2020-04-15T00:00:00Z,Ottolenghi and the Cakes of Versailles
http://www.wikidata.org/entity/Q97178104,"Happy Halloween, Scooby-Doo!",Maxwell Atoms,adventure film,76,2020-10-06T00:00:00Z,"Happy Halloween, Scooby-Doo!"
http://www.wikidata.org/entity/Q105273917,Scooby-Doo! The Sword and the Scoob,Maxwell Atoms,adventure film,76,2021-02-23T00:00:00Z,Scooby-Doo! The Sword and the Scoob
http://www.wikidata.org/entity/Q113015339,Q113015339,Lilo Vilaplana,drama film,76,2021-01-01T00:00:00Z,Q113015339
http://www.wikidata.org/entity/Q121334964,The Music Critic,Volker Werner,comedy film,75,2021-01-01T00:00:00Z,The Music Critic
http://www.wikidata.org/entity/Q55258951,Scooby-Doo! and the Gourmet Ghost,Doug Murphy,adventure film,77,2018-01-01T00:00:00Z,Scooby-Doo! and the Gourmet Ghost
http://www.wikidata.org/entity/Q65552647,Teen Titans Go! vs. Teen Titans,Jeff Mednikow,fantasy film,77,2019-01-01T00:00:00Z,Teen Titans Go! vs. Teen Titans
http://www.wikidata.org/entity/Q73028806,League of Legends: Origins,Leslie Iwerks,documentary film,77,2019-01-01T00:00:00Z,League of Legends: Origins
http://www.wikidata.org/entity/Q107337950,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,Cecilia Aranovich,comedy,78,2021-12-31T00:00:00Z,Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog
http://www.wikidata.org/entity/Q111630803,Sirens,Rita Baghdadi,documentary film,78,2022-01-23T00:00:00Z,Sirens
http://www.wikidata.org/entity/Q113298189,Queen of Glory,Nana Mensah,comedy film,78,2021-01-01T00:00:00Z,Queen of Glory
http://www.wikidata.org/entity/Q109324544,Waikiki,Chris Kahunahana,drama film,77,2020-01-01T00:00:00Z,Waikiki
http://www.wikidata.org/entity/Q109941404,Untold: Deal with the Devil,Laura Brownson,documentary film,77,2021-08-17T00:00:00Z,Untold: Deal with the Devil
http://www.wikidata.org/entity/Q110349171,Clinton Road,Richard Grieco,horror film,77,2019-01-01T00:00:00Z,Clinton Road
http://www.wikidata.org/entity/Q112663190,Tahara,Olivia Peace,drama film,77,2022-06-10T00:00:00Z,Tahara
http://www.wikidata.org/entity/Q116814629,What We Do Next,Stephen Belber,drama film,77,2022-01-01T00:00:00Z,What We Do Next
http://www.wikidata.org/entity/Q55816433,The Rake,Tony Wash,horror film,79,2018-01-01T00:00:00Z,The Rake
http://www.wikidata.org/entity/Q95500323,AKA Jane Roe,Nick Sweeney,documentary film,79,2020-05-22T00:00:00Z,AKA Jane Roe
http://www.wikidata.org/entity/Q115952844,Grasshoppers,Brad Bischoff,drama film,80,2021-01-01T00:00:00Z,Grasshoppers
http://www.wikidata.org/entity/Q119037312,Justice League x RWBY: Super Heroes and Huntsmen Part One,Kerry Shawcross,action film,80,2023-01-01T00:00:00Z,Justice League x RWBY: Super Heroes and Huntsmen Part One
http://www.wikidata.org/entity/Q111737539,The Last Horsemen of New York,Mary Haverstick,documentary film,79,2018-01-01T00:00:00Z,The Last Horsemen of New York
http://www.wikidata.org/entity/Q118462542,Babylon 5: The Road Home,Matt Peters,science fiction film,79,2023-08-15T00:00:00Z,Babylon 5: The Road Home
http://www.wikidata.org/entity/Q42225503,The Little Vampire 3D,Richard Claus,adventure film,80,2018-01-18T00:00:00Z,The Little Vampire 3D
http://www.wikidata.org/entity/Q45040781,Marvel Rising: Secret Warriors,Eric Radomski,pop music,80,2018-01-01T00:00:00Z,Marvel Rising: Secret Warriors
http://www.wikidata.org/entity/Q23899862,Hellraiser: Judgment,Gary J. Tunnicliffe,horror film,81,2018-01-01T00:00:00Z,Hellraiser: Judgment
http://www.wikidata.org/entity/Q32067403,The Strange Ones,Lauren Wolkstein,drama film,81,2018-07-11T00:00:00Z,The Strange Ones
http://www.wikidata.org/entity/Q62761144,To All the Boys: P.S. I Still Love You,Michael Fimognari,romantic comedy,81,2020-02-12T00:00:00Z,To All the Boys: P.S. I Still Love You
http://www.wikidata.org/entity/Q65068660,The Argument,Robert Coppola Schwartzman,drama film,81,2020-01-01T00:00:00Z,The Argument
http://www.wikidata.org/entity/Q75206334,Fantastic Fungi,Louis Schwartzberg,documentary film,81,2019-10-11T00:00:00Z,Fantastic Fungi
http://www.wikidata.org/entity/Q57314409,3100: Run and Become,Sanjay Rawal,documentary film,80,2018-08-17T00:00:00Z,3100: Run and Become
http://www.wikidata.org/entity/Q62595448,Roll Red Roll,Nancy Schwartzman,documentary film,80,2018-01-01T00:00:00Z,Roll Red Roll
http://www.wikidata.org/entity/Q90536250,Becoming Nobody,Jamie Catto,documentary film,81,2019-09-06T00:00:00Z,Becoming Nobody
http://www.wikidata.org/entity/Q97940555,Hunter's Moon,Michael Caissie,horror film,81,2020-03-24T00:00:00Z,Hunter's Moon
http://www.wikidata.org/entity/Q98147427,Paydirt,Christian Sesma,action film,81,2020-08-07T00:00:00Z,Paydirt
http://www.wikidata.org/entity/Q102501471,Welcome To Sudden Death,Dallas Jackson,action film,81,2020-01-01T00:00:00Z,Welcome To Sudden Death
